label,roc_auc,f1_score,precision,recall
toxic,0.9570487580456593,0.6083923950950613,0.46269678302532513,0.8880131362889984
severe_toxic,0.9797629597849017,0.2827024436990896,0.17151162790697674,0.8038147138964578
obscene,0.966689402071102,0.5700052438384898,0.42071990710876017,0.8835004063939312
threat,0.9867707799061408,0.09147424511545293,0.047985092010249246,0.976303317535545
insult,0.9607657505632895,0.49023515344758867,0.33724500987058564,0.8972862562007586
identity_hate,0.9698490580346155,0.17685444133706218,0.09769015742239223,0.9325842696629213
