label,roc_auc,f1_score
toxic,0.9455511736155928,0.5628114345659586
severe_toxic,0.9797911025705158,0.19752321981424148
obscene,0.9599258589311596,0.5528525668773266
threat,0.9866928153793316,0.2789598108747045
insult,0.9552504332152495,0.5069575674282769
identity_hate,0.9627342237359151,0.2764497041420118
